TICKER;PRECO;DY;P/VP;LIQUIDEZ MEDIA DIARIA;PERCENTUAL EM CAIXA;CAGR DIVIDENDOS 3 ANOS; CAGR VALOR CORA 3 ANOS;PATRIMONIO;N COTISTAS;GESTAO
RBTS11;1.000,00;3,63;0,96;;6,32;;;59.094.532,99;56,00;Ativa;
FIIP11B;177,31;7,95;0,89;75.684,30;2,78;-4,04;-1,93;185.644.589,21;8.862,00;Passiva;
DEVA11;103,53;16,98;1,05;7.535.017,80;3,14;;;1.075.044.399,82;52.339,00;Ativa;
RSPD11;1.200,00;0,92;1,05;19.313,00;16,82;;;170.214.851,65;108,00;Ativa;
HOSI11;75,60;8,25;0,82;19.062,90;12,40;;;52.888.543,34;2.206,00;Ativa;
PEMA11;72,10;12,22;0,80;4.215,60;0,70;;;50.035.967,80;91,00;Ativa;
FIVN11;2,27;0,00;0,33;7.926,00;0,05;;-10,35;64.604.991,54;3.124,00;Passiva;
ARCT11;101,98;19,58;0,99;341.239,30;7,11;;;164.724.630,31;6.548,00;Ativa;
BPFF11;64,06;10,47;0,81;532.300,25;4,93;-4,89;-10,71;354.102.384,87;20.600,00;Ativa;
TRXF11;99,00;8,58;0,96;2.860.992,00;5,81;;;578.875.374,53;37.298,00;Ativa;
MGFF11;64,70;10,51;0,82;1.350.534,30;4,52;-8,99;-9,23;710.399.687,20;50.637,00;Ativa;
KNRI11;135,45;6,20;0,86;3.499.860,80;4,18;-1,84;-2,96;3.800.803.257,11;232.967,00;Ativa;
BTRA11;92,00;1,48;0,92;666.212,40;59,17;;;336.049.679,75;7.950,00;Ativa;
CVPR11;0,00;0,00;;;100,43;;;9.932.297,94;1,00;Ativa;
SALI11;0,00;0,00;;;3,67;;;7.939.560,36;2,00;Passiva;
